id,time,magnitude,magtype,depth,latitude,longitude,distance,trigger_index
usp000bqjg,2003-02-12 23:40:19.880000+00:00,2.7,mblg,0.0,28.094,-16.145,178.289,796.386
usp000brnv,2003-02-28 16:42:14.600000+00:00,2.7,mblg,10.3,28.133,-16.194,172.331,769.775
usp000brrz,2003-03-02 00:07:46.240000+00:00,3.1,mblg,31.0,27.993,-16.164,180.594,508.984
usp000bs4q,2003-03-07 12:31:14.710000+00:00,2.5,mblg,0.0,28.367,-15.891,195.231,1097.867
usp000btcq,2003-03-24 05:32:44.480000+00:00,2.5,mblg,0.0,28.449,-15.088,272.368,1531.639
usp000btd3,2003-03-24 08:11:20.220000+00:00,2.5,mblg,0.0,28.206,-16.371,153.3,862.068
usp000btf7,2003-03-25 03:11:34.590000+00:00,2.3,mblg,0.0,28.069,-16.142,179.505,1270.798
usp000btta,2003-03-29 20:04:54.110000+00:00,2.3,mblg,10.8,27.781,-16.725,145.345,1028.965
usp000buf6,2003-04-05 17:46:41.290000+00:00,2.9,mblg,24.0,28.024,-16.184,177.459,629.647
usp000bufp,2003-04-05 20:54:58.110000+00:00,2.2,mblg,28.5,28.086,-16.226,171.11,1359.177
usp000buq2,2003-04-08 10:43:21.860000+00:00,2.9,mblg,0.0,28.034,-16.225,173.308,614.919
usp000buut,2003-04-10 04:50:57.840000+00:00,2.3,mblg,27.8,28.147,-16.189,172.311,1219.867
usp000bw5w,2003-04-28 23:22:40.970000+00:00,3.3,mblg,23.8,28.215,-16.192,169.851,380.249
usp000bwq4,2003-05-06 06:29:57.890000+00:00,4.2,mblg,21.3,27.72,-18.107,102.168,81.155
usp000bxfs,2003-05-18 18:45:34.190000+00:00,2.6,mblg,3.3,28.087,-16.113,181.512,909.716
usp000by0f,2003-05-24 04:26:18.350000+00:00,1.9,mblg,0.0,28.224,-16.331,156.467,1755.588
usp000by1x,2003-05-24 17:23:22.850000+00:00,2.7,mblg,10.0,32.294,-16.514,429.819,1919.93
usp000by58,2003-05-25 22:19:49.470000+00:00,2.9,mblg,26.8,28.099,-16.235,169.78,602.402
usp000by7f,2003-05-26 17:03:28.030000+00:00,2.4,mblg,0.0,28.182,-16.136,176.14,1111.368
usp000bzay,2003-06-07 22:59:52.420000+00:00,1.9,mblg,0.0,28.119,-16.501,144.64,1622.886
usp000bzg0,2003-06-09 14:31:21.060000+00:00,1.9,mblg,0.0,28.103,-16.184,174.343,1956.164
usp000bzh3,2003-06-10 00:09:13.910000+00:00,2.3,mblg,0.0,27.985,-17.831,69.998,495.55
usp000bzv4,2003-06-14 15:00:26.760000+00:00,1.2,mblg,13.4,28.081,-16.233,170.662,4286.838
usp000c01h,2003-06-16 21:40:21.340000+00:00,1.6,mblg,24.2,28.181,-16.177,172.312,2730.966
usp000c067,2003-06-18 17:56:01.770000+00:00,2.3,mblg,33.6,27.636,-18.161,112.532,796.664
usp000c0ks,2003-06-22 09:58:36.780000+00:00,1.6,mblg,0.0,28.088,-16.201,173.336,2747.196
usp000c2nj,2003-07-16 16:47:09.430000+00:00,1.8,mblg,15.1,28.206,-16.205,168.895,2126.263
usp000c2uh,2003-07-18 21:54:31.550000+00:00,2.0,mblg,24.1,28.041,-16.152,179.685,1796.846
usp000c39s,2003-07-25 05:47:33.130000+00:00,2.3,mblg,16.3,28.041,-16.166,178.402,1262.993
usp000c3mh,2003-07-29 03:47:08.920000+00:00,2.9,mblg,27.5,28.119,-16.214,170.975,606.641
usp000c4hy,2003-08-10 06:29:49.650000+00:00,2.0,mblg,0.0,29.036,-16.235,165.956,1659.563
usp000c4pf,2003-08-12 11:23:46.190000+00:00,1.8,mblg,10.0,28.126,-16.204,171.65,2160.942
usp000c5bv,2003-08-19 12:25:24.520000+00:00,2.3,mblg,0.0,28.174,-16.176,172.631,1222.13
usp000c67g,2003-08-29 20:12:01.630000+00:00,1.3,mblg,1.8,28.19,-14.969,287.621,6439.022
usp000c6ab,2003-08-30 20:28:25.660000+00:00,2.0,mblg,15.2,28.198,-16.289,161.246,1612.457
usp000c6ac,2003-08-30 20:28:40.830000+00:00,2.5,mblg,20.0,28.129,-16.147,176.851,994.509
usp000c6ad,2003-08-30 20:32:42.680000+00:00,2.5,mblg,21.6,28.115,-16.137,178.274,1002.506
usp000c6af,2003-08-30 20:52:56.370000+00:00,1.2,mblg,20.0,28.137,-16.157,175.642,4411.93
usp000c6b2,2003-08-31 00:58:21.920000+00:00,2.2,mblg,27.3,28.101,-16.138,178.682,1419.323
usp000c6ce,2003-08-31 10:39:59.590000+00:00,2.5,mblg,24.6,28.133,-16.15,176.433,992.157
usp000c6ft,2003-09-01 20:01:18.530000+00:00,1.4,mblg,20.0,28.134,-16.15,176.399,3519.618
usp000c6ps,2003-09-04 02:08:15.690000+00:00,1.1,mblg,0.0,28.145,-16.141,176.866,4984.771
usp000c7ym,2003-09-18 22:42:55.260000+00:00,3.2,mblg,0.0,28.312,-21.48,355.176,892.163
usp000c7zh,2003-09-19 05:48:16.450000+00:00,1.5,mblg,0.0,28.311,-15.961,189.508,3369.981
usp000c81k,2003-09-19 21:59:53.610000+00:00,1.4,mblg,0.0,28.364,-16.485,138.001,2753.489
usp000c8cg,2003-09-23 05:48:26.940000+00:00,1.5,mblg,27.0,28.213,-16.096,178.998,3183.084
usp000c8dc,2003-09-23 12:22:26.890000+00:00,1.8,mblg,21.6,28.138,-16.216,170.106,2141.512
usp000c8hd,2003-09-24 22:13:21.120000+00:00,1.8,mblg,23.6,28.293,-16.349,152.756,1923.087
usp000c950,2003-09-30 10:04:22.490000+00:00,1.7,mblg,30.2,28.093,-16.284,165.505,2337.823
usp000ca18,2003-10-10 00:10:32.250000+00:00,1.2,mblg,0.0,28.216,-16.345,155.407,3903.637
usp000capq,2003-10-18 12:32:13.490000+00:00,1.3,mblg,0.0,28.16,-16.24,167.103,3740.968
usp000cbgk,2003-10-28 22:42:27.270000+00:00,2.9,mblg,0.0,27.964,-15.543,238.961,847.867
usp000cc2q,2003-11-04 21:42:31.610000+00:00,1.7,mblg,26.4,28.106,-16.172,175.345,2476.816
usp000cccn,2003-11-08 18:26:22.500000+00:00,2.5,mblg,0.0,28.118,-16.142,177.702,999.293
usp000cczq,2003-11-16 16:47:18.200000+00:00,1.4,mblg,0.0,28.131,-16.196,172.216,3436.152
usp000cd10,2003-11-16 23:58:19.210000+00:00,2.3,mblg,23.5,28.019,-15.031,285.651,2022.252
usp000cdfj,2003-11-20 05:04:51.010000+00:00,1.0,mblg,0.0,28.112,-16.223,170.399,5388.483
usp000cdn5,2003-11-22 06:20:47.440000+00:00,1.8,mblg,11.0,28.027,-16.167,178.884,2252.011
usp000cexz,2003-12-10 07:01:08.990000+00:00,2.0,mblg,16.9,28.042,-16.174,177.63,1776.298
usp000cf32,2003-12-12 04:22:50.200000+00:00,1.3,mblg,0.0,28.154,-16.346,157.457,3525.019
usp000cfxk,2003-12-24 06:51:00.510000+00:00,1.5,mblg,0.0,27.874,-15.634,233.895,4159.309
usp000cggr,2003-12-29 21:38:57.870000+00:00,1.6,mblg,7.5,28.134,-16.262,165.976,2630.534
usp000ch1m,2004-01-04 02:49:36.580000+00:00,1.8,mblg,0.0,28.117,-16.214,171.048,2153.366
usp000ch9e,2004-01-06 11:05:43.620000+00:00,2.0,mblg,30.0,29.194,-16.546,144.043,1440.435
usp000char,2004-01-07 00:20:51.270000+00:00,1.5,mblg,0.0,28.441,-16.319,152.581,2713.313
usp000chx6,2004-01-15 04:42:54.020000+00:00,2.1,mblg,20.0,28.533,-14.681,311.56,2776.785
usp000cka1,2004-02-03 03:57:49.500000+00:00,2.3,mblg,0.0,29.415,-17.083,117.435,831.379
usp000ckk2,2004-02-06 20:37:31.670000+00:00,1.6,mblg,11.3,28.121,-16.14,177.783,2817.67
usp000cktg,2004-02-09 06:39:12.570000+00:00,1.5,mblg,12.7,28.247,-16.391,150.101,2669.213
usp000ckx8,2004-02-10 21:10:15.050000+00:00,2.5,mblg,27.9,28.025,-16.183,177.508,998.201
usp000cm23,2004-02-12 16:35:37.550000+00:00,1.9,mblg,25.0,28.127,-16.165,175.243,1966.261
usp000cmur,2004-02-23 01:17:42.650000+00:00,1.3,mblg,23.9,28.085,-16.23,170.781,3823.315
usp000cmwu,2004-02-23 21:26:35.030000+00:00,1.5,mblg,8.0,28.227,-16.294,159.859,2842.735
usp000cpyp,2004-03-14 20:10:38.830000+00:00,2.2,mblg,20.4,28.048,-16.138,180.69,1435.272
usp000cq6t,2004-03-17 22:47:54.770000+00:00,1.6,mblg,0.0,28.148,-16.153,175.643,2783.748
usp000cqgb,2004-03-21 01:02:47.490000+00:00,1.2,mblg,0.0,28.134,-16.145,176.866,4442.664
usp000cqpp,2004-03-23 15:05:20.310000+00:00,2.3,mblg,22.0,27.589,-17.969,114.434,810.132
usp000cqx8,2004-03-26 07:03:26.420000+00:00,1.8,mblg,28.2,28.637,-16.178,165.032,2077.634
usp000cr08,2004-03-27 07:05:14.790000+00:00,1.9,mblg,0.0,28.131,-16.162,175.383,1967.829
usp000cr54,2004-03-28 19:29:42.190000+00:00,1.5,mblg,0.0,28.148,-16.142,176.672,3141.728
usp000cs6g,2004-04-10 21:26:22.300000+00:00,1.9,mblg,25.3,27.913,-15.04,287.894,3230.218
usp000cshv,2004-04-15 08:22:58.920000+00:00,2.2,mblg,30.5,28.076,-16.167,176.931,1405.416
usp000ct27,2004-04-21 16:36:31.220000+00:00,1.8,mblg,29.0,28.071,-16.305,164.477,2070.64
usp000ct2d,2004-04-21 18:05:20.130000+00:00,2.2,mblg,9.5,28.304,-16.644,124.512,989.037
usp000ct35,2004-04-22 02:14:53.290000+00:00,1.5,mblg,12.0,28.302,-16.684,120.82,2148.511
usp000ct7r,2004-04-23 18:20:18.680000+00:00,1.7,mblg,0.0,28.051,-16.194,175.435,2478.087
usp000ctc1,2004-04-25 05:35:10.710000+00:00,1.8,mblg,0.0,28.204,-16.71,122.07,1536.768
usp000ctpq,2004-04-28 21:42:42.740000+00:00,1.9,mblg,32.0,27.717,-18.164,103.922,1166.026
usp000ctss,2004-04-30 00:34:02.750000+00:00,1.3,mblg,0.0,28.157,-16.196,171.317,3835.304
usp000ctsw,2004-04-30 01:14:27.860000+00:00,1.6,mblg,16.8,28.162,-16.253,165.821,2628.08
usp000ctu8,2004-04-30 10:46:01.860000+00:00,2.3,mblg,0.0,28.144,-16.14,176.994,1253.018
usp000cu1w,2004-05-03 02:53:02.400000+00:00,2.2,mblg,18.1,27.79,-18.089,94.176,748.07
